日期,模型,请求次数,输入Token,输出Token,总Token,计费方式,价格详情,费用(元)
2026-02-26,qwen3.5-plus,491,6009531,180047,6189578,按量计费,"输入 2.00 元/百万, 输出 12.00 元/百万, 缓存 0.20 元/百万 折扣 10.00折",23.03902
2026-02-26,qwen3.5-flash,23,31787,4794,36581,按量计费,"输入 0.80 元/百万, 输出 8.00 元/百万, 缓存 0.08 元/百万 折扣 10.00折",0.063782
2026-02-26,MiniMax-M2.5,183,14118571,27608,14146179,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",31.913422
2026-02-26,kimi-k2.5,45,121136,4331,125467,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",1.08762
2026-02-25,qwen3.5-plus,36,760238,4622,764860,按量计费,"输入 2.00 元/百万, 输出 12.00 元/百万, 缓存 0.20 元/百万 折扣 10.00折",1.57594
2026-02-25,qwen3.5-flash,19,35092,4890,39982,按量计费,"输入 0.80 元/百万, 输出 8.00 元/百万, 缓存 0.08 元/百万 折扣 10.00折",0.067194
2026-02-25,MiniMax-M2.5,365,21720811,72698,21793509,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",49.037807
2026-02-24,MiniMax-M2.5,534,22665522,77951,22743473,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",52.477869
2026-02-24,kimi-k2.5,1,0,0,0,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",0.0
2026-02-24,doubao-seed-2.0-pro,123,3219256,36576,3255832,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",35.214643
2026-02-23,MiniMax-M2.5,256,5661255,32433,5693688,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",13.732258
2026-02-22,MiniMax-M2.5,491,16518606,47490,16566096,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",38.054689
2026-02-21,doubao-seed-2.0-pro,1,18304,182,18486,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",0.184454
2026-02-21,glm-4.7,13,974537,2877,977414,按量计费,"输入 4.00 元/百万, 输出 16.00 元/百万, 缓存 0.80 元/百万 折扣 10.00折",4.332071
2026-02-21,MiniMax-M2.5,910,38665369,170256,38835625,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",88.289188
2026-02-20,MiniMax-M2.5,8,35312,618,35930,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",0.100185
2026-02-20,kimi-k2.5,683,1202717,136026,1338743,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",36.824329
2026-02-19,kimi-k2.5,576,6918863,71425,6990288,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",62.331575
2026-02-18,doubao-seed-2.0-pro,8,106480,1623,108103,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",1.212993
2026-02-18,kimi-k2.5,1051,1411445,210732,1622177,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",61.297649
2026-02-18,MiniMax-M2.5,44,151666,6162,157828,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",0.578164
2026-02-17,MiniMax-M2.5,9,33880,1471,35351,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",0.089192
2026-02-17,doubao-seed-2.0-pro,9,162462,4571,167033,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",1.823388
2026-02-17,kimi-k2.5,457,784719,103462,888181,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",25.450782
2026-02-16,kimi-k2.5,173,587536,37059,624595,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",11.834457
2026-02-16,MiniMax-M2.5,617,17473934,127487,17601421,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",41.152536
2026-02-16,doubao-seed-2.0-pro,15,1236000,6869,1242869,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",13.737364
2026-02-15,MiniMax-M2.5,409,3923928,73164,3997092,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",12.935089
2026-02-15,claude-4.5-sonnet,9,62802,1561,64363,按量计费,"输入 24.00 元/百万, 输出 120.00 元/百万, 缓存 2.40 元/百万 折扣 8.00折",1.530472
2026-02-15,claude-4.5-haiku,9,30717,119,30836,按量计费,"输入 8.00 元/百万, 输出 40.00 元/百万, 缓存 0.80 元/百万 折扣 10.00折",0.266152
2026-02-15,glm-4.7,8,24412,976,25388,按量计费,"输入 4.00 元/百万, 输出 16.00 元/百万, 缓存 0.80 元/百万 折扣 10.00折",0.190678
2026-02-15,MiniMax-M2.1,29,87154,4275,91429,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.30 元/百万 折扣 10.00折",0.312011
2026-02-15,doubao-seed-2.0-pro,66,2856151,31056,2887207,按量计费,"输入 9.60 元/百万, 输出 48.00 元/百万, 缓存 1.92 元/百万 折扣 10.00折",32.215916
2026-02-15,doubao-seed-2.0-mini,67,116639,12270,128909,按量计费,"输入 0.80 元/百万, 输出 8.00 元/百万, 缓存 0.16 元/百万 折扣 10.00折",0.20296
2026-02-15,kimi-k2.5,171,388476,24651,413127,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",4.785539
2026-02-14,kimi-k2.5,95,141226,10832,152058,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",1.90184
2026-02-13,kimi-k2.5,791,2557271,162897,2720168,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",42.122103
2026-02-10,MiniMax-M2.1,16,33946,634,34580,按量计费,"输入 2.10 元/百万, 输出 8.40 元/百万, 缓存 0.21 元/百万 折扣 10.00折",0.094875
2026-02-10,kimi-k2.5,12,110472,1247,111719,按量计费,"输入 4.00 元/百万, 输出 21.00 元/百万, 缓存 0.70 元/百万 折扣 10.00折",0.468075
2026-02-10,gpt-5.2,1,12,742,754,按量计费,"输入 14.00 元/百万, 输出 112.00 元/百万, 缓存 1.40 元/百万 折扣 10.00折",0.083272
2026-02-10,gpt-3.5-turbo,2,415,103,518,按量计费,"输入 4.00 元/百万, 输出 12.00 元/百万, 缓存 0.00 元/百万 折扣 10.00折",0.002896
2026-02-10,glm-4.7,18,65776,1558,67334,按量计费,"输入 4.00 元/百万, 输出 16.00 元/百万, 缓存 0.80 元/百万 折扣 10.00折",0.388783
2026-02-10,claude-4.5-sonnet,14,37861,2515,40376,按量计费,"输入 24.00 元/百万, 输出 120.00 元/百万, 缓存 2.40 元/百万 折扣 8.00折",1.168017
2026-02-10,claude-4.5-haiku,31,5250,263,5513,按量计费,"输入 8.00 元/百万, 输出 40.00 元/百万, 缓存 0.80 元/百万 折扣 10.00折",0.062315
